InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
MeshDATAFile=E:\huangwei\SoftwareCheck202111\NewModelTest20220513\20jqd_r18_202220612_DATA\Plies Group.1_STLMeshData.stl
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
ModelName=Plies Group.1\Sequence.2\Ply.2
PointNum=6739 	EdgeNum=19897 	FacetNum=13158 
AngelStart=45 deg
TotalNum=70
Output Start
tiaoshu=1	dianshu=199
x=2897.763927	y=-265.084792	z=-282.056381	Nx=0.204615	Ny=-0.100465	Nz=-0.973673	FaceNum=7207
x=2912.138577	y=-282.480918	z=-277.083276	Nx=0.216560	Ny=-0.106332	Nz=-0.970461	FaceNum=7306
x=2914.502552	y=-285.342296	z=-276.261698	Nx=0.218471	Ny=-0.107237	Nz=-0.969933	FaceNum=7307
x=2915.274782	y=-286.280559	z=-275.970096	Nx=0.219169	Ny=-0.107565	Nz=-0.969740	FaceNum=7203
x=2930.914813	y=-305.270030	z=-270.148685	Nx=0.233433	Ny=-0.114261	Nz=-0.965636	FaceNum=7202
x=2936.777370	y=-312.417923	z=-267.782182	Nx=0.239193	Ny=-0.116977	Nz=-0.963900	FaceNum=7303
x=2937.112373	y=-312.826062	z=-267.648828	Nx=0.242028	Ny=-0.118516	Nz=-0.963004	FaceNum=7302
x=2946.931301	y=-325.050562	z=-263.707746	Nx=0.249031	Ny=-0.121579	Nz=-0.960834	FaceNum=7302
x=2957.442327	y=-338.198692	z=-259.139894	Nx=0.260478	Ny=-0.127110	Nz=-0.957076	FaceNum=7298
x=2962.573270	y=-344.611529	z=-256.939636	Nx=0.265770	Ny=-0.129653	Nz=-0.955278	FaceNum=7297
x=2969.490421	y=-353.298661	z=-253.750307	Nx=0.269478	Ny=-0.131365	Nz=-0.954005	FaceNum=7294
x=2977.812681	y=-363.757091	z=-249.878834	Nx=0.274492	Ny=-0.133696	Nz=-0.952250	FaceNum=7293

tiaoshu=2	dianshu=230
x=1142.825144	y=-48.125350	z=322.107118	Nx=0.219203	Ny=0.013808	Nz=0.975581	FaceNum=8383
x=1156.517337	y=-33.945259	z=318.883220	Nx=0.222590	Ny=0.011533	Nz=0.974844	FaceNum=8384
x=1165.459235	y=-24.654295	z=316.631701	Nx=0.225132	Ny=0.009867	Nz=0.974278	FaceNum=8385
x=1184.649431	y=-4.812990	z=312.250696	Nx=0.230840	Ny=0.007123	Nz=0.972966	FaceNum=8386
x=1207.697901	y=19.130254	z=306.493680	Nx=0.235972	Ny=0.003907	Nz=0.971752	FaceNum=8387
x=1211.942276	y=23.526435	z=305.489507	Nx=0.236731	Ny=0.002857	Nz=0.971571	FaceNum=8417
x=1248.502399	y=61.495158	z=296.422122	Nx=0.243013	Ny=-0.003654	Nz=0.970016	FaceNum=8487
x=1276.914057	y=91.013602	z=289.326765	Nx=0.249013	Ny=-0.008553	Nz=0.968462	FaceNum=8488
x=1288.876090	y=103.417453	z=286.433430	Nx=0.251515	Ny=-0.010543	Nz=0.967796	FaceNum=8474
